id,label
3883,Stella Booth
3933,Janet Imbrie
3937,Louise Hoguet
4010,Dorothy Neumann
4011,Dorothy Sainsbury
4012,Eleanor Aycock
4027,Alice Crocker
4031,Christie Tollefson
4034,Eleanor Lodge
4052,Monaca Acri
4053,Priscilla Towers
4080,Emily White
4089,Helen Field
4094,Jacinta Kampmeier
4106,Joy Rogers
4110,Lorraine Crittendon
4116,Myrtle Oulman
4117,Patricia Lang
4179,Jane B. Anderton
4196,Polly Hale
4242,Helene Missirian
4253,Leone R. Freeman
4255,Lucille Maureen McGuire
4261,Helene Grant
4274,Susanne Ketchum
4277,Virginia B. Weaver
4285,Beatrice E. Graves
4295,Helene Winifred Missirian
4329,Francelia Smith
4334,Jane Walz
4342,Mary Louise Spang
4360,Anita P. Forbes
4389,Mary Percy Schenck
4390,Maureen McGuire
4441,Mary Schenck II
4448,Ruth Tucker
4519,Mary-Elizabeth Baldwin
4535,Ada Holmes
4537,Betty Cohen
4538,Betty Lou Evans
4540,Carolyn Mardenbro
4548,Evelyn Lanier
4570,Nancy Lee Keith
4578,Ronietta Cable
4601,Miss Ardito
4602,Miss Belcher
4603,Miss Chiles
4605,Miss Click
4607,Miss Fern
4608,Miss Geurney
4611,Miss Lindsay
4613,Miss Martin
4615,Miss Soanes
4616,Miss Wells
4617,Zita Y. Smail
4637,Mrs. William Anderson
4642,Betzi Durham
4646,Elinor Martin
4647,Enid Gilbert
4662,Lucille Clarke
4663,Margaret Pickman
4665,Maxine Schlingman
4668,Olivia Davis
4669,Patricia Cool
4670,Patricia Havens
4679,Virginia Harris Mealy
4714,Miss Bailey
4715,Miss Crouse
4716,Miss Cutler
4717,Miss Donell
4718,Miss Harris
4719,Miss Henry
4720,Miss Kleiner
4721,Miss Miterstein
4722,Miss Nelson
4723,Miss Ramsey
4725,Miss Sterne
4744,Mrs. Henry
4745,Anne M. Kleiner
4748,Betty K. Graybill
4752,Catherine Strout
4781,Mary H. Dickson
4789,Patricia Meyer
4805,Barbara Begole
4819,Helene Jaffin
4840,Elizabeth Armstrong
4860,Anita Lande
4878,Mary Walters
4901,Isabel Erichsen
4905,Marjorie L. Dycke
4907,Nancy Partridge
4918,Celeste Kohler
4929,Juana de Laban
4940,Ruth Apprich
4953,Esther Glasser
4954,Eva Dutkovich
4967,Marilyn Maloney
4985,Marion K. Simonson
5027,Eleanor Evans
5030,Emily Demzak
5031,Esther Lovett
5033,Ethel Edwards
5035,Eugenia Wolverton
5037,Fay Garvin
5042,Geraldine Rehrig
5046,Hazel Garvin
5047,Helen Dube
5048,Helen Lee
5049,Janet Stratton
5051,Jennie Darling
5061,Kathleen Balmer
5065,Lillian Eudowe
5066,Louise Willoughby
5072,Mary Reid
5073,Mildred Kramer
5075,Mildred Sperry
5079,Myrtle Culver
5081,Nan T. Corbett
5083,Olive Dunbar
5085,Patricia Fargo
5087,Renee Brainerd
5093,Ruth Lester
5115,Gaynelle Nixon
5143,Beverly Parker
5151,Phyllis Baker
5160,Carolyn White
5166,Eva Wolas
5175,Myrna Fenn
5196,Edda Thorarinsson
5198,Eloise Jones
5206,Juile Harris
5214,Marsha Radner
5221,Shirley Wood
5222,Thelma Oshinsky
5235,Dorothy H. Ward
5242,Margaret Coffin
5250,Virginia Archer
5311,Margaret Edwards
5335,Katy Martin
5353,Beth Dace
5359,Claire Sheridan
5395,Anna L. K. Syarse
5404,Gertrude Puccia
5418,Eilene Crawley
5422,Gertrude Kraft
5428,Malissa Childs
5430,Margaret Goodwillie
5431,Marillyn Barker
5514,Felicity A. Robinson
5515,Florence Freedman
5529,Marle Web
5531,Mary E. McBride
5589,Martha Posey
5599,Phyllis Smith
5604,Berna Kroll
5613,Charlotte Alexander
5617,Esther Palmer
5619,Francine Rubin
5635,Nina Polumbaum
5654,Ann Patterson
5681,Eda Margaret Henry
5693,Mardette Edwards
5733,Beth Ash
5747,Edith Alpert
5761,Lila Paris
5766,Molly Niederlander
5801,Marjorie Dickinson
5809,Vicky Dollard
5812,Barbara Kleinspehn
5825,Edwina Dime
5828,Elizabeth T. Lewis
5844,Lorraine Truscott
5864,Alice Raphael
5897,Charlotte Lucas
5908,E. Louise Young
5971,M. Warda Drummond
5983,Phyllis M. G. Smith
6094,Dorothy Lusk
6172,Grace Lovat Fraser
6211,Dorothy B. Bland
6220,Marilyn Rogers
6226,Sarah Sigler Bullock
6285,Dorothy Blend
6299,Lynn Rogers
6333,Mrs. W. Skelton
6371,Shirin Devrim Lau
6383,Edya Signer
6397,Betty Ann Metz
6399,Ellen Langdon
6407,Patti Cole
6422,Betty Ann Garfield
6426,Carol Hope Hallock
6433,Fay Moore
6446,Nancy Stivers
6468,Doris Payne
6472,Elizabeth Sprigge
6491,Pamelia Payson
6522,Mary Joyce Coreth
6534,Anna Leonard
6538,Carol Hallock
6571,Betty Lewis
6587,Jacinto Benavento
6625,Eleanor Erret
